dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.012904468923807144,0.6236559139784946,0.6170212765957447,0.6304347826086957,469,136,15,121,11,1.0,1.0,1.0,1.0,121,0,0,15,8,4000,0.005353987216949463
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.07645723968744278,0.5494505494505495,0.5555555555555556,0.5434782608695652,469,136,15,121,11,0.9958333333333333,0.9655172413793104,1.0,0.9333333333333333,121,0,1,14,8,4000,0.005353987216949463
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.015642572194337845,0.6078431372549019,0.5535714285714286,0.6739130434782609,469,136,15,121,11,0.913506956006956,0.9375,0.8823529411764706,1.0,119,2,0,15,8,4000,0.005353987216949463
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.014861669391393661,0.6326530612244897,0.5961538461538461,0.6739130434782609,469,136,15,121,11,0.9913888888888889,0.9375,0.8823529411764706,1.0,119,2,0,15,8,4000,0.005353987216949463
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02874644659459591,0.7710843373493975,0.9696969696969697,0.64,466,135,11,124,15,0.7269604133240497,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,8,4000,0.005880949553102255
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.09602268040180206,0.7727272727272727,0.8947368421052632,0.68,466,135,11,124,15,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,8,4000,0.005880949553102255
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02992725558578968,0.7422680412371133,0.7659574468085106,0.72,466,135,11,124,15,0.7087110079204941,0.75,0.6923076923076923,0.8181818181818182,120,4,2,9,8,4000,0.005880949553102255
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.026035258546471596,0.7578947368421052,0.8,0.72,466,135,11,124,15,0.7068994137175956,0.6923076923076923,0.6,0.8181818181818182,118,6,2,9,8,4000,0.005880949553102255
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.017848240211606026,0.6896551724137931,0.8333333333333334,0.5882352941176471,472,128,10,118,13,0.7677913752913752,0.0,0.0,0.0,118,0,10,0,8,1639,0.0016326054465025663
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.056208159774541855,0.717948717948718,0.6363636363636364,0.8235294117647058,472,128,10,118,13,0.8016666666666667,0.8,0.8,0.8,116,2,2,8,8,1639,0.0016326054465025663
turning,cnn_ae,ver_max,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.01971101388335228,0.7307692307692308,0.7169811320754716,0.7450980392156863,472,128,10,118,13,0.7897160682454801,0.18181818181818182,1.0,0.1,118,0,9,1,8,1639,0.0016326054465025663
turning,cnn_ae,ver_topk,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.01426297053694725,0.7454545454545455,0.6949152542372882,0.803921568627451,472,128,10,118,13,0.7980142080142081,0.3333333333333333,1.0,0.2,118,0,8,2,8,1639,0.0016326054465025663
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.004110617097467184,0.5575757575757576,0.4,0.92,481,120,11,109,11,0.9924242424242424,0.7096774193548387,0.55,1.0,100,9,0,11,8,1235,0.0011873564217239618
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.04627425596117973,0.5714285714285714,0.47368421052631576,0.72,481,120,11,109,11,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,8,1235,0.0011873564217239618
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.006021828390657902,0.5614035087719298,0.39669421487603307,0.96,481,120,11,109,11,0.9679144385026738,0.7096774193548387,0.55,1.0,100,9,0,11,8,1235,0.0011873564217239618
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.00613534776493907,0.5512820512820512,0.4056603773584906,0.86,481,120,11,109,11,0.986013986013986,0.7096774193548387,0.55,1.0,100,9,0,11,8,1235,0.0011873564217239618
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.009865573607385159,0.7912087912087913,0.8181818181818182,0.7659574468085106,472,132,14,118,13,0.7563252467387805,0.7857142857142857,0.7857142857142857,0.7857142857142857,115,3,3,11,8,3284,0.0029208450578153133
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.061842069029808044,0.8,0.8372093023255814,0.7659574468085106,472,132,14,118,13,0.7615021017114613,0.8461538461538461,0.9166666666666666,0.7857142857142857,117,1,3,11,8,3284,0.0029208450578153133
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.017815537750720978,0.8045977011494252,0.875,0.7446808510638298,472,132,14,118,13,0.6183590436084491,0.42105263157894735,0.8,0.2857142857142857,117,1,10,4,8,3284,0.0029208450578153133
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.01521450374275446,0.8275862068965516,0.9,0.7659574468085106,472,132,14,118,13,0.6413978283621141,0.42105263157894735,0.8,0.2857142857142857,117,1,10,4,8,3284,0.0029208450578153133
