dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.01975804939866066,0.5507246376811594,0.8260869565217391,0.41304347826086957,469,136,15,121,11,1.0,0.9285714285714286,1.0,0.8666666666666667,121,0,2,13,32,4000,0.005306706763803959
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.10397546738386154,0.5373134328358209,0.8571428571428571,0.391304347826087,469,136,15,121,11,0.9958333333333333,0.8888888888888888,1.0,0.8,121,0,3,12,32,4000,0.005306706763803959
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.02763042226433754,0.5633802816901409,0.8,0.43478260869565216,469,136,15,121,11,0.913506956006956,0.967741935483871,0.9375,1.0,120,1,0,15,32,4000,0.005306706763803959
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.03102262318134308,0.5507246376811594,0.8260869565217391,0.41304347826086957,469,136,15,121,11,0.9913888888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,120,1,1,14,32,4000,0.005306706763803959
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.013610035181045532,0.7083333333333334,0.7391304347826086,0.68,466,135,11,124,15,0.7269604133240497,0.5789473684210527,0.4074074074074074,1.0,108,16,0,11,32,4000,0.00588094862177968
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.07605309784412384,0.7010309278350516,0.723404255319149,0.68,466,135,11,124,15,0.6867691744446549,0.5882352941176471,0.43478260869565216,0.9090909090909091,111,13,1,10,32,4000,0.00588094862177968
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.022006239742040634,0.6938775510204083,0.7083333333333334,0.68,466,135,11,124,15,0.7087110079204941,0.6060606060606061,0.45454545454545453,0.9090909090909091,112,12,1,10,32,4000,0.00588094862177968
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.019956864416599274,0.6875,0.717391304347826,0.66,466,135,11,124,15,0.7068994137175956,0.6666666666666666,0.5,1.0,113,11,0,11,32,4000,0.00588094862177968
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.00392072694376111,0.7575757575757576,0.6172839506172839,0.9803921568627451,472,128,10,118,13,0.8476069681952035,0.75,0.6428571428571429,0.9,113,5,1,9,32,1742,0.0010841257171705365
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.03635596111416817,0.7596899224806201,0.6282051282051282,0.9607843137254902,472,128,10,118,13,0.8955542986425338,0.782608695652174,0.6923076923076923,0.9,114,4,1,9,32,1742,0.0010841257171705365
turning,cnn_ae,ver_max,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.00940935593098402,0.6990291262135924,0.6923076923076923,0.7058823529411765,472,128,10,118,13,0.7595670995670994,0.5882352941176471,0.7142857142857143,0.5,116,2,5,5,32,1742,0.0010841257171705365
turning,cnn_ae,ver_topk,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.0066278427839279175,0.7368421052631577,0.6666666666666666,0.8235294117647058,472,128,10,118,13,0.7635397883849897,0.5714285714285714,0.5454545454545454,0.6,113,5,4,6,32,1742,0.0010841257171705365
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.003540471661835909,0.5348837209302325,0.3770491803278688,0.92,481,120,11,109,11,1.0,0.7857142857142857,0.6470588235294118,1.0,103,6,0,11,32,1708,0.0009982584742829204
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.052146028727293015,0.5306122448979592,0.5416666666666666,0.52,481,120,11,109,11,0.9924242424242424,0.9565217391304348,0.9166666666666666,1.0,108,1,0,11,32,1708,0.0009982584742829204
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.026241444051265717,0.5333333333333333,0.8,0.4,481,120,11,109,11,1.0,0.9,1.0,0.8181818181818182,109,0,2,9,32,1708,0.0009982584742829204
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.022493163123726845,0.5333333333333333,0.8,0.4,481,120,11,109,11,1.0,0.9,1.0,0.8181818181818182,109,0,2,9,32,1708,0.0009982584742829204
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.00405444810166955,0.7476635514018691,0.6666666666666666,0.851063829787234,472,132,14,118,13,0.7256548540161986,0.7222222222222222,0.5909090909090909,0.9285714285714286,109,9,1,13,32,2033,0.0013340737204998732
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.04038392752408981,0.7916666666666665,0.7755102040816326,0.8085106382978723,472,132,14,118,13,0.7202716940045556,0.6666666666666666,0.625,0.7142857142857143,112,6,4,10,32,2033,0.0013340737204998732
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.018326411023736,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.6105857430691576,0.125,0.5,0.07142857142857142,117,1,13,1,32,2033,0.0013340737204998732
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.014387230388820171,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.6255167034302372,0.23529411764705882,0.6666666666666666,0.14285714285714285,117,1,12,2,32,2033,0.0013340737204998732
