dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.004008276388049126,0.6760563380281689,0.5217391304347826,0.96,481,120,11,109,11,1.0,0.7096774193548387,0.55,1.0,100,9,0,11,64,1721,0.0009526487556286156
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.0037232686299830675,0.711111111111111,0.5647058823529412,0.96,481,120,11,109,11,1.0,0.7096774193548387,0.55,1.0,100,9,0,11,64,1721,0.0009526487556286156
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.006281232461333275,0.7356321839080461,0.8,0.6808510638297872,472,132,14,118,13,0.7768601912235453,0.509090909090909,0.34146341463414637,1.0,91,27,0,14,64,4000,0.004443556070327759
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.0493151918053627,0.7901234567901235,0.9411764705882353,0.6808510638297872,472,132,14,118,13,0.7129062813936764,0.5098039215686274,0.35135135135135137,0.9285714285714286,94,24,1,13,64,4000,0.004443556070327759
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.012023741379380226,0.7250000000000001,0.8787878787878788,0.6170212765957447,472,132,14,118,13,0.7540143388357675,0.5909090909090909,0.43333333333333335,0.9285714285714286,101,17,1,13,64,4000,0.004443556070327759
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.013427789323031902,0.7200000000000001,0.9642857142857143,0.574468085106383,472,132,14,118,13,0.75156881593217,0.6666666666666666,0.5454545454545454,0.8571428571428571,108,10,2,12,64,4000,0.004443556070327759
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.01975804939866066,0.5294117647058824,0.8181818181818182,0.391304347826087,469,136,15,121,11,0.8968402893402894,0.0,0.0,0.0,121,0,15,0,128,2596,0.0011149978963658214
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.10397546738386154,0.5151515151515151,0.85,0.3695652173913043,469,136,15,121,11,1.0,0.0,0.0,0.0,121,0,15,0,128,2596,0.0011149978963658214
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.02763042226433754,0.5352112676056338,0.76,0.41304347826086957,469,136,15,121,11,0.8412847337847338,0.0,0.0,0.0,120,1,15,0,128,2596,0.0011149978963658214
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.033187929540872574,0.5294117647058824,0.8181818181818182,0.391304347826087,469,136,15,121,11,0.8343402893402894,0.0,0.0,0.0,121,0,15,0,128,2596,0.0011149978963658214
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02092035859823227,0.6486486486486487,1.0,0.48,466,135,11,124,15,0.7269604133240497,0.6956521739130435,0.6666666666666666,0.7272727272727273,120,4,3,8,128,4000,0.00588094862177968
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.09601562470197678,0.6486486486486487,1.0,0.48,466,135,11,124,15,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,128,4000,0.00588094862177968
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.022938337177038193,0.6493506493506493,0.9259259259259259,0.5,466,135,11,124,15,0.7087110079204941,0.625,0.47619047619047616,0.9090909090909091,113,11,1,10,128,4000,0.00588094862177968
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.01496250182390213,0.6582278481012658,0.896551724137931,0.52,466,135,11,124,15,0.7068994137175956,0.5365853658536586,0.36666666666666664,1.0,105,19,0,11,128,4000,0.00588094862177968
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.003340707626193762,0.8135593220338982,0.7164179104477612,0.9411764705882353,472,128,10,118,13,0.7559122740005093,0.75,0.6428571428571429,0.9,113,5,1,9,128,1154,0.0010130786104127765
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.034374892711639404,0.8440366972477066,0.7931034482758621,0.9019607843137255,472,128,10,118,13,0.8353711484593838,0.6666666666666666,0.5714285714285714,0.8,112,6,2,8,128,1154,0.0010130786104127765
turning,cnn_ae,ver_max,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.005775792524218559,0.7377049180327869,0.6338028169014085,0.8823529411764706,472,128,10,118,13,0.5841682826976944,0.5,0.5,0.5,113,5,5,5,128,1154,0.0010130786104127765
turning,cnn_ae,ver_topk,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.006833215709775686,0.7722772277227723,0.78,0.7647058823529411,472,128,10,118,13,0.6973159223817118,0.5,0.6666666666666666,0.4,116,2,6,4,128,1154,0.0010130786104127765
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.0034266351722180843,0.7567567567567568,0.6885245901639344,0.84,481,120,11,109,11,0.986013986013986,0.7857142857142857,0.6470588235294118,1.0,103,6,0,11,128,1491,0.001017258269712329
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.032284777611494064,0.7666666666666667,0.6571428571428571,0.92,481,120,11,109,11,0.9757575757575757,0.8148148148148148,0.6875,1.0,104,5,0,11,128,1491,0.001017258269712329
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.005087307654321194,0.7058823529411766,0.6086956521739131,0.84,481,120,11,109,11,0.9924242424242424,0.7096774193548387,0.55,1.0,100,9,0,11,128,1491,0.001017258269712329
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.004585721530020237,0.7155963302752293,0.6610169491525424,0.78,481,120,11,109,11,0.9924242424242424,0.7333333333333333,0.5789473684210527,1.0,101,8,0,11,128,1491,0.001017258269712329
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.003974753897637129,0.7735849056603775,0.6949152542372882,0.8723404255319149,472,132,14,118,13,0.6341187790905836,0.8235294117647058,0.7,1.0,112,6,0,14,128,2077,0.0011832164600491524
